200,IAM,2,9A50,1
135,135,21/11/13  2:46:00,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,136,21/11/13  2:46:57,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,137,21/11/13  2:47:54,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,138,21/11/13  2:48:51,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,139,21/11/13  2:49:48,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,140,21/11/13  2:50:22,L:1    ,D: 48/0,Zone  21 - ,SOUTH 1ST FLR,SPONSORS LOUNGE        ,MISSING ,16386,0,65584,                                                                                      

135,141,21/11/13  2:50:30,L:1    ,D: 48/0,Zone  21 - ,SOUTH 1ST FLR,SPONSORS LOUNGE        ,OK ,16391,0,65584,                                                                                           

135,142,21/11/13  2:50:46,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,143,21/11/13  2:51:43,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,144,21/11/13  2:52:40,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,145,21/11/13  2:53:37,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,146,21/11/13  2:54:34,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,147,21/11/13  2:55:16,L:2    ,D: 50/0,Zone  19 - ,SOUTH 1ST FLR,CLUB OFFICE VOID       ,MISSING ,16386,0,65842,                                                                                      

135,148,21/11/13  2:55:26,L:2    ,D: 50/0,Zone  19 - ,SOUTH 1ST FLR,CLUB OFFICE VOID       ,OK ,16391,0,65842,                                                                                           

135,149,21/11/13  2:55:31,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,150,21/11/13  2:56:28,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,151,21/11/13  2:57:01,L:2    ,D: 48/0,Zone  19 - ,SOUTH 1ST FLR,CORRIDOR BY CLUB OFFICE,MISSING ,16386,0,65840,                                                                                      

135,152,21/11/13  2:57:12,L:2    ,D: 48/0,Zone  19 - ,SOUTH 1ST FLR,CORRIDOR BY CLUB OFFICE,OK ,16391,0,65840,                                                                                           

135,153,21/11/13  2:57:25,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,154,21/11/13  2:58:04,L:2    ,D: 52/0,Zone  19 - ,SOUTH 1ST FLR,CLUB OFFICES           ,MISSING ,16386,0,65844,                                                                                      

135,155,21/11/13  2:58:22,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,156,21/11/13  2:58:22,L:2    ,D: 52/0,Zone  19 - ,SOUTH 1ST FLR,CLUB OFFICES           ,OK ,16391,0,65844,                                                                                           

135,157,21/11/13  2:59:19,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,158,21/11/13  3:00:16,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,159,21/11/13  3:01:13,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,160,21/11/13  3:02:10,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,161,21/11/13  3:03:07,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,162,21/11/13  3:04:04,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,163,21/11/13  3:05:01,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,164,21/11/13  3:05:58,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,165,21/11/13  3:06:55,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,166,21/11/13  3:07:52,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,167,21/11/13  3:08:49,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,168,21/11/13  3:09:46,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,169,21/11/13  3:10:43,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,170,21/11/13  3:11:40,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,171,21/11/13  3:12:37,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,172,21/11/13  3:13:34,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

135,173,21/11/13  3:14:31,System ,D: 10/0,Zone 205 - ,System Zone  ,Loop 9 - Device  10    ,PM Task Restarted,16510,0,2058,                                                                              

