200,IAM,2,9A50,1
135,118,14/02/14  9:10:40,L:4    ,D: 57/0,Zone  23 - ,SOUTH 1ST FLR,FEMALE CHANGING WC     ,MISSING ,16386,20,65593,                                                                                     

135,119,14/02/14  9:10:40,L:4    ,D: 58/0,Zone  16 - ,STAIR 5 W.   ,1ST FLOOR DIS. WC      ,MISSING ,16386,20,65594,                                                                                     

135,120,14/02/14  9:10:41,L:4    ,D: 59/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN EXIT TO CORRIDOR,MISSING ,16386,20,65595,                                                                                    

135,121,14/02/14  9:10:43,L:4    ,D: 60/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65596,                                                                                     

135,122,14/02/14  9:10:44,L:4    ,D: 61/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN                ,MISSING ,16386,20,65597,                                                                                     

135,123,14/02/14  9:10:46,L:4    ,D: 62/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65598,                                                                                     

135,124,14/02/14  9:10:46,L:4    ,D: 63/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65599,                                                                                     

135,125,14/02/14  9:10:48,L:4    ,D: 64/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65600,                                                                                     

135,126,14/02/14  9:10:49,L:4    ,D: 65/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN                ,MISSING ,16386,20,65601,                                                                                     

135,127,14/02/14  9:10:51,L:4    ,D: 66/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65602,                                                                                     

135,128,14/02/14  9:10:52,L:4    ,D: 67/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN                ,MISSING ,16386,20,65603,                                                                                     

135,129,14/02/14  9:10:53,L:4    ,D: 68/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN                ,MISSING ,16386,20,65604,                                                                                     

135,130,14/02/14  9:10:54,L:4    ,D: 69/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN VOID           ,MISSING ,16386,20,65605,                                                                                     

135,131,14/02/14  9:10:56,L:4    ,D: 70/0,Zone  22 - ,SOUTH 1ST FLR,KITCHEN EXIT TO SPONSORS,MISSING ,16386,20,65606,                                                                                    

135,132,14/02/14  9:10:57,L:4    ,D:100/0,Zone   1 - ,SOUTH  G FLOOR,                       ,MISSING ,16386,20,65636,                                                                                    

135,133,14/02/14  9:10:59,L:4    ,D:101/0,Zone   3 - ,WEST STAND   ,                       ,MISSING ,16386,20,65637,                                                                                     

135,134,14/02/14  9:10:59,L:4    ,D:102/0,Zone   6 - ,NORTH STAND  ,                       ,MISSING ,16386,20,65638,                                                                                     

135,135,14/02/14  9:11:00,L:4    ,D:103/0,Zone   1 - ,SOUTH  G FLOOR,                       ,MISSING ,16386,20,65639,                                                                                    

135,136,14/02/14  9:11:05,L:4    ,D:  1/0,Zone   0 - ,,1ST FLOOR DIS WC       ,MISSING ,16386,20,65537,                                                                                                  

135,137,14/02/14  9:11:05,L:4    ,D:  2/0,Zone  16 - ,STAIR 5 W.   ,1ST FLOOR LANDING      ,MISSING ,16386,20,65538,                                                                                     

135,138,14/02/14  9:11:06,L:4    ,D:  3/0,Zone  16 - ,STAIR 5 W.   ,1ST FLOOR BY LIFT      ,MISSING ,16386,20,65539,                                                                                     

135,139,14/02/14  9:11:06,L:4    ,D:  4/0,Zone  23 - ,SOUTH 1ST FLR,CORR BY CLEANER STORE  ,MISSING ,16386,20,65540,                                                                                     

135,140,14/02/14  9:11:06,L:4    ,D:  5/0,Zone  23 - ,SOUTH 1ST FLR,CORR BY CLEANER STORE  ,MISSING ,16386,20,65541,                                                                                     

135,141,14/02/14  9:11:08,L:4    ,D:  6/0,Zone  23 - ,SOUTH 1ST FLR,CLEANERS STORE         ,MISSING ,16386,20,65542,                                                                                     

135,142,14/02/14  9:11:10,L:4    ,D:  7/0,Zone  23 - ,SOUTH 1ST FLR,MALE CHANGING          ,MISSING ,16386,20,65543,                                                                                     

135,143,14/02/14  9:13:57,L:4    ,D:--,Zone 201 - ,System Zone  ,--,Open Circuit ,16410,0,0,                                                                                                             

135,144,14/02/14  9:14:51,L:4    ,D:  8/0,Zone  23 - ,SOUTH 1ST FLR,CORR BY MALE CHANGING  ,MISSING ,16386,20,65544,                                                                                     

135,145,14/02/14  9:14:51,L:4    ,D:  9/0,Zone   0 - ,,MALE CHANGING WC       ,MISSING ,16386,20,65545,                                                                                                  

135,146,14/02/14  9:14:52,L:4    ,D: 10/0,Zone   0 - ,,FEMALE CHANGING WC     ,MISSING ,16386,20,65546,                                                                                                  

